"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
3.0942181914073,9.04124105535309,3.62413720460934e-12,3.06439955370474e-09,"Hbb-bs","Hba-a2",0.2,0.04
9.13933681844753,1.83701999188008,3.82465621735441e-12,3.06439955370474e-09,"Clec1b","Hba-a2",0.2,0.04
3.46493060819355,4.21147169432664,7.24189512328964e-12,5.49697955095175e-09,"Ctla2a","Hba-a2",0.2,0.04
-4.14970936445066,3.04102428670977,9.28030756061636e-12,6.69202978196046e-09,"Khdrbs3","Hba-a2",0.2,0.04
6.21110640914387,2.01281877639325,1.01587399607865e-11,6.97663560545058e-09,"Thbs1","Hba-a2",0.2,0.04
6.19150886519929,1.99413907913623,1.25887165408874e-11,8.25247590693989e-09,"Ppbp","Hba-a2",0.2,0.04
6.08931724213445,1.89697314263916,3.78454940374877e-11,2.37307702177673e-08,"Cavin2","Hba-a2",0.2,0.04
4.23675064669719,2.51827431831339,4.4669466070912e-11,2.68426266531122e-08,"Wfdc21","Hba-a2",0.2,0.04
8.87681399196771,1.58626083935307,7.5994310873739e-11,4.38395980568426e-08,"F2rl2","Hba-a2",0.2,0.04
2.79386104060448,6.88940146878981,3.55900452270983e-10,1.95626988187683e-07,"Hba-a2","Hba-a2",0.2,0.04
3.72232432636601,2.75510667533901,3.66241067887079e-10,1.95626988187683e-07,"Lat","Hba-a2",0.2,0.04
-4.54041061706083,2.07500766082276,5.06391256063509e-10,2.59217761747e-07,"Nespas","Hba-a2",0.2,0.04
-8.67160908823044,1.46238997364072,5.21239432163569e-10,2.59217761747e-07,"Tceal3","Hba-a2",0.2,0.04
-3.59525651045811,2.977152151662,5.53808495560242e-10,2.66234204098994e-07,"Spon2","Hba-a2",0.2,0.04
2.71426487664649,6.22717403229538,1.38761465789906e-09,6.39884377125409e-07,"Nrgn","Hba-a2",0.2,0.04
-5.57092861174843,1.62591518017887,1.41979614949474e-09,6.39884377125409e-07,"Aim2","Hba-a2",0.2,0.04
2.92434204892942,4.3217909167359,1.49111735701193e-09,6.51663470388667e-07,"Pf4","Hba-a2",0.2,0.04
5.70305798884369,1.5338183518282,2.4007314465077e-09,1.01833379180983e-06,"Slc35d3","Hba-a2",0.2,0.04
-3.48354783081695,2.74610475052315,3.92390319371423e-09,1.6168723388499e-06,"Phlda2","Hba-a2",0.2,0.04
3.33591506937539,2.7741609410962,5.99521537035507e-09,2.40174989086835e-06,"Gng11","Hba-a2",0.2,0.04
-2.75639726418967,4.30674533827432,8.43979692765214e-09,3.289695980827e-06,"Aldh1a7","Hba-a2",0.2,0.04
3.40988355314106,2.47370277690568,1.20365042880224e-08,4.55316051201408e-06,"Podxl","Hba-a2",0.2,0.04
-2.826919667467,3.91990201005835,1.2312665370167e-08,4.55316051201408e-06,"Gm11837","Hba-a2",0.2,0.04
-2.99131058125192,3.34347313058971,1.57836966035379e-08,5.69081181040559e-06,"Ephx2","Hba-a2",0.2,0.04
-8.23988745627706,1.07025418996956,2.92755434508164e-08,1.0297850918236e-05,"Syde2","Hba-a2",0.2,0.04
2.61496703954542,4.24144704993728,3.60885210404297e-08,1.23921107248828e-05,"Lyz2","Hba-a2",0.2,0.04
3.0635205748809,2.82508205426501,4.17205813019037e-08,1.39928889194431e-05,"Meis1","Hba-a2",0.2,0.04
8.1848113923549,0.940335419975013,5.7916344817295e-08,1.86351212288831e-05,"Iigp1","Hba-a2",0.2,0.04
2.35300870274019,8.00390463602616,5.81459197961268e-08,1.86351212288831e-05,"Hbb-bt","Hba-a2",0.2,0.04
4.64466901743203,1.42502940847119,6.64090001295126e-08,2.08206652145181e-05,"Il12a","Hba-a2",0.2,0.04
-8.12779961260577,0.970028349311028,8.20481551578342e-08,2.51765636954529e-05,"Gml","Hba-a2",0.2,0.04
4.23546060462827,1.58086378205722,9.11608737501445e-08,2.73900441921788e-05,"Itgb3","Hba-a2",0.2,0.04
3.34759882318108,2.11022539527353,1.03931017112138e-07,3.05896556896174e-05,"Rab27b","Hba-a2",0.2,0.04
2.98911558821259,2.66974357776032,1.30252919773382e-07,3.75701521794343e-05,"Chst1","Hba-a2",0.2,0.04
5.28910194660376,1.15350080896159,1.33489301291567e-07,3.77486804554309e-05,"Mrvi1","Hba-a2",0.2,0.04
3.03574038614479,2.5101634540291,1.47336333517018e-07,4.05899783240722e-05,"Kctd12","Hba-a2",0.2,0.04
-3.51411776159179,2.07923325607929,1.51980226702253e-07,4.05899783240722e-05,"Mpped2","Hba-a2",0.2,0.04
3.30758654916374,2.07515876478458,1.51980226702253e-07,4.05899783240722e-05,"Ifi203","Hba-a2",0.2,0.04
2.254322137321,8.47178261213203,1.67019435679621e-07,4.3795532752209e-05,"Hba-a1","Hba-a2",0.2,0.04
3.91653148657583,1.67559205433021,1.79102021724828e-07,4.6125167094919e-05,"Oasl2","Hba-a2",0.2,0.04
2.85025307041696,2.72544791750147,2.81437823021137e-07,7.12087067300148e-05,"Anxa1","Hba-a2",0.2,0.04
-2.22216241164165,6.87129418377806,3.33495599648619e-07,8.29254058298686e-05,"Asns","Hba-a2",0.2,0.04
3.83578853409627,1.60379874663692,3.67247864770406e-07,8.97703170460813e-05,"Sla","Hba-a2",0.2,0.04
-2.17680313625043,10.9833345053628,3.73917125667908e-07,8.98772131063762e-05,"Car1","Hba-a2",0.2,0.04
2.68609351074208,2.88254099598874,4.14249052553292e-07,9.79393415725176e-05,"Tmem176b","Hba-a2",0.2,0.04
5.13347685517353,1.01342443239963,4.77852418906875e-07,0.000111154638475402,"Ifitm6","Hba-a2",0.2,0.04
