"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
1.66968240614012,5.09036262813236,0.00494374808122596,0.79520496080654,"Klhl2","Ltf",0.2,0.04
1.25386996539518,7.40270088963402,0.00495923768194666,0.79520496080654,"Ifi27","Ltf",0.2,0.04
1.33026331861359,6.53233682465739,0.00507139919113739,0.79520496080654,"Cd300lf","Ltf",0.2,0.04
1.180538255118,9.77691550421898,0.00512330134676823,0.79520496080654,"Slpi","Ltf",0.2,0.04
1.17554438170195,10.1921845904181,0.00512911712303755,0.79520496080654,"Ifitm3","Ltf",0.2,0.04
-2.71686883946043,2.76736055985476,0.00524730524756346,0.79520496080654,"Pkd1","Ltf",0.2,0.04
6.7499735269039,2.77975786642071,0.00528154359696995,0.79520496080654,"Med18","Ltf",0.2,0.04
6.7499735269039,2.77975786642071,0.00528154359696995,0.79520496080654,"Ifit3b","Ltf",0.2,0.04
-3.36919126892757,2.41581144569363,0.00528154359696995,0.79520496080654,"Styx","Ltf",0.2,0.04
-2.82411395285158,2.49959978463232,0.00528154359696995,0.79520496080654,"Zfp953","Ltf",0.2,0.04
1.75219840181768,4.80634776229575,0.00529608374489174,0.79520496080654,"Sertad3","Ltf",0.2,0.04
1.24764664082144,7.36547426757961,0.00532349544526707,0.79520496080654,"Slfn1","Ltf",0.2,0.04
1.34638594478339,6.30925603803993,0.00547888509976581,0.808594760040035,"Sephs2","Ltf",0.2,0.04
-1.59407720782203,4.57509009873546,0.00563918630909887,0.808594760040035,"Pds5b","Ltf",0.2,0.04
-1.23551572998932,6.90316453010067,0.00586319667529748,0.808594760040035,"Hist1h2ae","Ltf",0.2,0.04
2.22345092771113,3.99581531585508,0.00591186124468408,0.808594760040035,"Ifi204","Ltf",0.2,0.04
1.45547406146773,5.63860376830402,0.00598455771455433,0.808594760040035,"Gng2","Ltf",0.2,0.04
1.30250319651817,6.60240274611652,0.00599963359975119,0.808594760040035,"Glipr1","Ltf",0.2,0.04
1.23047693327812,7.44976405041875,0.00605059042064011,0.808594760040035,"Selplg","Ltf",0.2,0.04
1.94935389274636,4.29583922078642,0.00606866913150668,0.808594760040035,"Parp14","Ltf",0.2,0.04
2.60064358007133,3.44821347299329,0.00607287558452783,0.808594760040035,"Palld","Ltf",0.2,0.04
2.60064358007133,3.44821347299329,0.00607287558452783,0.808594760040035,"Aqp9","Ltf",0.2,0.04
-2.00397992642866,3.59156771092529,0.00612771284824353,0.808594760040035,"Shmt1","Ltf",0.2,0.04
1.53033860828676,5.26396504691409,0.00643044635265665,0.808594760040035,"Fgl2","Ltf",0.2,0.04
1.35489757192389,6.03448041320549,0.00652955859475053,0.808594760040035,"Bst1","Ltf",0.2,0.04
1.28862092970982,6.50267946929327,0.00666912921612421,0.808594760040035,"Hacd4","Ltf",0.2,0.04
3.3533928089183,3.239173419129,0.00696616276027384,0.808594760040035,"Ikbkg","Ltf",0.2,0.04
3.3533928089183,3.239173419129,0.00696616276027384,0.808594760040035,"Ecm1","Ltf",0.2,0.04
2.07933568794556,4.16417086389132,0.00701326971967908,0.808594760040035,"St3gal6","Ltf",0.2,0.04
-1.26547986434697,6.24967855164064,0.0070476776197424,0.808594760040035,"Nkg7","Ltf",0.2,0.04
