"test_ligand","auroc","aupr","aupr_corrected","pearson","rank","receiver"
"Gnas",0.581620683463993,0.00954032725120932,0.00521416049714534,0.0121786213595369,121,"Cd74"
"Traf2",0.598370139844784,0.00953254840329062,0.00520638164922664,0.0150863541178797,122,"Cd74"
"Cd82",0.578139525604967,0.0095121978931475,0.00518603113908352,0.0239954949861569,123,"Cd74"
"Podxl",0.592832206196249,0.00946096674530182,0.00513479999123785,0.019928777616282,124,"Cd74"
"Mpzl3",0.582127396413103,0.00945031414934601,0.00512414739528204,0.0222135232623687,125,"Cd74"
"Ifitm6",0.60549803499115,0.00942980493555664,0.00510363818149267,0.0286732571704502,126,"Cd74"
"Col17a1",0.579615775929129,0.00941747107726286,0.00509130432319888,0.014545673507492,127,"Cd74"
"Lamb3",0.595210166177898,0.00941059386616191,0.00508442711209793,0.0193896546542958,128,"Cd74"
"Fbn1",0.589127615855706,0.00939601778584755,0.00506985103178358,0.0132432759812146,129,"Cd74"
"Jam3",0.600843856604214,0.00939522453029943,0.00506905777623545,0.0231795501608608,130,"Cd74"
"Cd47",0.579913020926828,0.0093909406913311,0.00506477393726713,0.0135356613470924,131,"Cd74"
"Ccl5",0.587864823348684,0.00938584365815203,0.00505967690408805,0.0104565194300468,132,"Cd74"
"Mpdz",0.587848863885741,0.0093824192167676,0.00505625246270363,0.0234620965789073,133,"Cd74"
"Ltbp1",0.598651425379529,0.00937861643722247,0.0050524496831585,0.0224832508641108,134,"Cd74"
"L1cam",0.582672013086757,0.00934591383226388,0.00501974707819991,0.0193311510498264,135,"Cd74"
"Col6a2",0.583537813952541,0.00934014823200285,0.00501398147793888,0.0202877086181372,136,"Cd74"
"Enpp1",0.59159335288366,0.00933714600314017,0.00501097924907619,0.0188124820166358,137,"Cd74"
"Col11a2",0.571161250423919,0.00928769866219814,0.00496153190813416,0.0139224806669027,138,"Cd74"
"Il23a",0.566981866060189,0.00927500798662627,0.00494884123256229,0.0225457624763399,139,"Cd74"
"F13a1",0.573796556745846,0.0092688710384224,0.00494270428435842,0.0181236468382442,140,"Cd74"
"Tnc",0.575753585891825,0.00925928341867165,0.00493311666460768,0.0128153564323469,141,"Cd74"
"Fcnb",0.593486544177771,0.0092363545979569,0.00491018784389292,0.0217877258729242,142,"Cd74"
"Efna1",0.593560356693989,0.00922033105436861,0.00489416430030464,0.0215041700350711,143,"Cd74"
"Fgfrl1",0.60556985257447,0.00921716001555421,0.00489099326149023,0.0212538124745025,144,"Cd74"
"Sema5a",0.565629301573988,0.00919927809367121,0.00487311133960723,0.0137614814510008,145,"Cd74"
"Cd55",0.58647036527221,0.00916869116883268,0.00484252441476871,0.0178933897349164,146,"Cd74"
"Adam10",0.613693219223173,0.00916113967158345,0.00483497291751947,0.0227288656099838,147,"Cd74"
"Clu",0.590635785105806,0.00914856096675466,0.00482239421269068,0.0184414977649402,148,"Cd74"
"Lamb1",0.58099028467691,0.00912091628029031,0.00479474952622634,0.0135579304169598,149,"Cd74"
"Ccl24",0.597304845691924,0.00911651086401338,0.00479034410994941,0.0185639439550827,150,"Cd74"
"Mdk",0.594282522393108,0.00911351299094019,0.00478734623687622,0.0115767030967564,151,"Cd74"
"Hp",0.589169509445993,0.00910782116637106,0.00478165441230709,0.0218229057805936,152,"Cd74"
"Col14a1",0.577128094639597,0.00909180566512181,0.00476563891105783,0.0186894608670613,153,"Cd74"
"Pdgfb",0.579158936301789,0.00909107109814334,0.00476490434407936,0.0245159116022418,154,"Cd74"
