"","C1qb","Car1","Ccl5","CD34","Cd74","Fcnb","Gstm1_CD63","Gstm1_Ly86","Hba-a2","Ltf","Ly86","Pf4","Prg2","Siglech","Vpreb1"
"Csf1",-6.66525102671237,-0.495671417829947,0,0.404842936580661,-3.84299813854765,1.96278742965506,0.484003311106769,0.302769498022123,3.25232972469285,0.676210142244375,0.836890956509195,-0.636237418518828,0.316085035206581,0,0.767043826856626
"Cd82",2.40242822730129,-0.816695731975077,1.46012614026555,0.296765963637075,0.942757044469715,-0.0289384228257201,0.459581081794579,0.184160710818737,0.0874774520443065,0.728524360784123,0.149767335198085,2.32060098145038,0.455611162795396,-2.10813345841473,1.69416007916511
"Ltbp3",-3.84791712537224,0.534728369509844,-2.56784509030297,0.334780493268172,0,0.532720212628381,0.542155041194283,0.448792353894199,1.07358247565822,0.961461348905002,-0.0304900778313188,-0.180775140106745,-0.451440490193373,0,-2.47888628599875
"Esam",1.43744069750485,2.78071260411089,0,2.75123999610607,-2.44627317497966,2.14319282427712,2.66586100154342,4.98069918537977,5.00464533810459,-0.621646749531263,3.09485834226729,1.31522507647869,1.61390934990376,0,-2.47888628599875
"Cfh",-5.58186980560014,0,0,-2.80447390050054,1.54915947602803,0,0,0,-3.09301305064446,0,1.77366175423432,-5.47186415447757,0,0,5.03747395663379
"Tgm2",4.3822245428599,0.616294322238881,0,1.53828173329397,0,2.9685057922995,2.53496373398827,3.9229757221452,0.784051364937015,-1.2386970453231,3.26291104850803,2.08905560080642,-2.88041469336559,0,0
"Npnt",0,0.210978462285145,0,3.7066689251261,0,0,0,0,0,0,3.96863822111455,-1.52825375668172,0,0,5.03747395663379
"Col6a2",-5.58186980560014,0,0,-2.80447390050054,0,0,0,0,0,0,-4.52394076178028,0,0,0,6.59284964585196
"Col12a1",-2.94478384535505,0,0,0,0,0,0,0,3.25232972469285,0,0,0,0,0,5.03747395663379
"Spp1",-2.06859102140343,-1.97210667870446,0,-1.94625178128335,1.21611268112717,-1.19835973069157,-1.16982704662799,-0.951558884811607,0.159316674048394,-2.58030082976857,-0.907066488240275,-1.94220904629467,0,4.26828250512477,0
"Il18",2.24862800555908,-1.43995622221876,-2.56784509030297,0.101079486134035,0.802469071883431,0.790172789109878,0.699126085162155,0.243773044798653,-3.09301305064446,3.61170375293074,1.49713974818827,-3.06107326605143,-2.88041469336559,0,0
"H2-DMb1",3.06587131167431,0.400649800355608,-3.44074796185724,0.157623396279704,-0.680749140670459,0.281858018725448,0.1781816073785,-0.0638447855390787,1.17161561430073,1.35825810636236,0.0774636609248606,0.242218247730781,0.021811043941877,-4.88085793890428,6.0153409265682
"H2-DMb2",0,-0.89103566200227,0,0.474408064232989,-0.306239133745519,1.01101176476762,-0.883664531376442,-1.1830886683264,3.25232972469285,1.62079588302103,-0.692594767019826,-0.138193406573533,-2.88041469336559,-3.02074757456305,-5.68148763533994
"Selp",-2.94478384535505,2.49109846587863,-2.56784509030297,2.05469315188859,0,2.19794626009651,2.96019523401117,2.67071123493167,6.28098027439342,0.676210142244375,2.27436418577228,1.05369053822279,0,-3.02074757456305,-2.47888628599875
"Nrg3",3.44979904103078,4.59680306859848,0,5.28483073254128,0,4.42503991376975,3.71334430441604,6.16673313593816,7.79931298162964,5.33219792174193,7.78685181028831,2.013449982715,-2.88041469336559,3.34127212892633,0
"Col11a2",0,0.774405998754189,-2.56784509030297,0.563480613014399,-3.30744718189654,0.3899603681154,0.633357718618236,0.83680284440227,2.61225146124102,0.961461348905002,0.0914278304894336,0.102462376109965,0.0213712397488273,0,0
"Col3a1",-4.79693032674451,-3.21756116814061,0,0,0,0,0,0,0,0,-4.12965641185814,0,0,0,6.0153409265682
"Orm1",0,3.12417717661389,0,0.902195024625562,0,-1.03254180436932,1.00586116076878,3.9229757221452,1.08155833591988,0.287874870174687,-2.70077482058744,0,0,0,0
"Fasl",0,0,1.0329436481132,0,0,0,-3.12782504619509,0,0,0,0,0,0,0,0
