"logFC","logCPM","PValue","FDR","gene","celltype","bcv","dispersion"
-5.18179770318845,-1.03024099955362,2.50561571577519e-07,2.65689226461512e-05,"Cd96","Car1",0.2,0.04
2.3654125364295,2.56637959935726,2.60042480810516e-07,2.74029858970883e-05,"Synpo2","Car1",0.2,0.04
3.51892138734813,-0.337008369349845,3.11288627143529e-07,3.26007583217106e-05,"Gm29590","Car1",0.2,0.04
-2.28670571600365,3.127934536041,3.46020286981228e-07,3.59846925841371e-05,"Pdgfrb","Car1",0.2,0.04
-7.9661530641059,-1.37126791066709,3.47842130366526e-07,3.59846925841371e-05,"Ptk7","Car1",0.2,0.04
2.48228826606459,1.67779892353691,3.82064118869237e-07,3.9285453580215e-05,"Nbea","Car1",0.2,0.04
-3.46930594697723,-0.263396647575066,4.00253052715698e-07,4.09077909179189e-05,"Fam178b","Car1",0.2,0.04
2.24700369178308,3.47831868452654,4.10633620254696e-07,4.17174251571327e-05,"Oasl2","Car1",0.2,0.04
3.47247586613702,-0.377197944074533,4.88882417203498e-07,4.9371304108777e-05,"Etl4","Car1",0.2,0.04
2.17898366701789,5.0223173171059,4.9401146497779e-07,4.9594074052149e-05,"S100a8","Car1",0.2,0.04
-2.17909653292469,4.4801430162316,5.46721810562456e-07,5.45628366941331e-05,"4930519L02Rik","Car1",0.2,0.04
2.99162697490608,0.272338049721058,5.75791693058917e-07,5.7127964119518e-05,"1700001C19Rik","Car1",0.2,0.04
2.78051602922431,0.609166390425394,5.81917074040974e-07,5.74000295242975e-05,"Nfib","Car1",0.2,0.04
-2.19414814702984,3.74558535705307,6.32410498970415e-07,6.20051590396246e-05,"Kel","Car1",0.2,0.04
-2.93470678241184,0.101614775455821,6.38276358548555e-07,6.20051590396246e-05,"Cyyr1","Car1",0.2,0.04
-4.37628752716784,-0.90174794782552,6.39567536952393e-07,6.20051590396246e-05,"Pdcd1","Car1",0.2,0.04
2.49109846587863,1.24423699387418,6.99384414735143e-07,6.74190680704343e-05,"Selp","Car1",0.2,0.04
2.2794204342581,2.44209346075576,7.09366636261734e-07,6.79949963322971e-05,"Ccr2","Car1",0.2,0.04
2.44321866722721,1.50006068135218,7.66585177300694e-07,7.30667647083347e-05,"1700016F12Rik","Car1",0.2,0.04
2.85545985838068,0.385832532100299,7.99608113502366e-07,7.57885544898387e-05,"Bmp7","Car1",0.2,0.04
3.06577143937794,-0.0975960987305693,8.52653859153947e-07,8.03673631911437e-05,"Pnpla1","Car1",0.2,0.04
-2.13361397366776,4.69726192191755,8.65955093398312e-07,8.11701332298108e-05,"Rab11fip1","Car1",0.2,0.04
-2.62415986718198,0.738550430278049,8.88880671171397e-07,8.28612608082083e-05,"Mn1","Car1",0.2,0.04
-2.19808329863236,3.09642011408339,9.10489112537295e-07,8.44117938978565e-05,"Nrxn1","Car1",0.2,0.04
4.90597650600381,-1.14509369326283,9.26661517076718e-07,8.544423531915e-05,"Pof1b","Car1",0.2,0.04
-3.50432123604497,-0.477497837935537,9.76129683544111e-07,8.95190065459967e-05,"Serpinf1","Car1",0.2,0.04
3.0008372281897,0.149900344736427,9.92268747224267e-07,9.05098471258436e-05,"F5","Car1",0.2,0.04
-2.37448238990388,1.5098513081419,1.04683866426318e-06,9.49768169940592e-05,"Gm11697","Car1",0.2,0.04
2.6280596760437,0.719435438322987,1.12331366816548e-06,0.00010086993294009,"Cd200r4","Car1",0.2,0.04
2.08081887326948,7.40150103601547,1.12368368063639e-06,0.00010086993294009,"Serpina3g","Car1",0.2,0.04
3.2385184456433,-0.336065396696651,1.17425650991064e-06,0.0001048549260376,"Gipc2","Car1",0.2,0.04
2.43455598456406,1.19731078378421,1.28087266813208e-06,0.000113776364856172,"Cdk14","Car1",0.2,0.04
-2.66656699450278,0.478420400668282,1.37498184626374e-06,0.000121499697935993,"Hmox1","Car1",0.2,0.04
2.96733514002092,0.121385063366522,1.38477015838789e-06,0.000121730624389684,"Rbfox2","Car1",0.2,0.04
-2.54055984134299,0.796332052905058,1.51474972245172e-06,0.000132470328820185,"Unc5cl","Car1",0.2,0.04
2.08732537034012,4.32229288861394,1.56037602217827e-06,0.000135760715857828,"Fcgr2b","Car1",0.2,0.04
-7.76058949913766,-1.55368413605794,1.61305407205609e-06,0.000139627935645427,"Spire2","Car1",0.2,0.04
2.13786497484454,3.07140508934791,1.68413559008501e-06,0.000145040834626306,"Ccdc62","Car1",0.2,0.04
-3.02554839788464,-0.09628622976206,2.02546610144005e-06,0.000173555847863798,"Gm10451","Car1",0.2,0.04
2.08906706605434,3.50518156091533,2.15828574966931e-06,0.0001840074172306,"Ppm1e","Car1",0.2,0.04
-2.32080069230464,1.32355535681408,2.26923261776565e-06,0.00019249900296506,"Timp3","Car1",0.2,0.04
-7.70427205813839,-1.60308862199358,2.40376685247575e-06,0.000202155572126841,"Tmbim7","Car1",0.2,0.04
-2.18469399754162,2.14221141386576,2.40689765234127e-06,0.000202155572126841,"Ccnb1ip1","Car1",0.2,0.04
2.34320497227396,1.37877790967885,2.48310439855192e-06,0.000207528813920354,"Mpdz","Car1",0.2,0.04
3.04322365146961,-0.296063504912772,2.54728052245273e-06,0.000211848830117318,"2310075C17Rik","Car1",0.2,0.04
-4.88909548364506,-1.28934107553424,2.58666343015109e-06,0.000213993266831354,"Fxyd2","Car1",0.2,0.04
2.01950035825808,5.39805721472961,2.5982914633537e-06,0.000213993266831354,"S100a9","Car1",0.2,0.04
2.89790262114776,0.062592945054242,2.72922767359036e-06,0.000223691191836397,"Tmem215","Car1",0.2,0.04
